response_time,timestamp,duration
1130.6166440008383,1697376649.0821712,1.12826
94.23677200175007,1697376649.3774993,0.09204
114.40077400038717,1697376649.597754,0.11074
87.95867399749113,1697376649.7711608,0.08577
75.86246700157062,1697376649.958559,0.07457
109.34644500230206,1697376650.1926227,0.10621
123.58566700277152,1697376650.407287,0.11870
117.66123999768752,1697376650.600478,0.11458
111.43321999770706,1697376650.7943933,0.10793
118.28798499846016,1697376651.0015323,0.11473
32.51866799837444,1697376651.1152785,0.03121
80.60345199919539,1697376651.3634977,0.07834
80.5946060027054,1697376651.5636206,0.07856
79.96828999966965,1697376651.763174,0.07763
96.56427899972186,1697376651.9794135,0.09425
74.1135399985069,1697376652.1570826,0.07265
32.69241000089096,1697376652.3153183,0.03151
115.30879999918398,1697376652.598389,0.11132
179.26514899954782,1697376652.8626864,0.17399
176.54194699935033,1697376653.0600522,0.17107
78.96319799692719,1697376653.162456,0.07754
78.82093099760823,1697376653.3617756,0.07681
103.82708399993135,1697376653.587327,0.10094
121.42036000295775,1697376653.8046038,0.11910
82.58659200146212,1697376653.965749,0.08085
74.85142500081565,1697376654.1580663,0.07321
29.90707599747111,1697376654.3134127,0.02866
102.6456159997906,1697376654.5858245,0.09983
31.567182999424404,1697376654.71486,0.03036
96.44911199939088,1697376654.9801276,0.09154
34.4236560013087,1697376655.1171367,0.03300
110.40902300010202,1697376655.393371,0.10478
107.83579199778615,1697376655.5910773,0.10479
104.01032899972051,1697376655.7868116,0.10203
117.13573900124175,1697376656.0005925,0.11328
99.67286999744829,1697376656.1830149,0.09661
92.87945000323816,1697376656.3763623,0.09102
86.85690600032103,1697376656.5698411,0.08397
174.620968002273,1697376656.8582582,0.17024
32.11534499860136,1697376656.9156413,0.03082
120.74139100150205,1697376657.204434,0.11631
90.24646699981531,1697376657.3735123,0.08700
72.94890900084283,1697376657.55593,0.07127
90.58130499761319,1697376657.7741094,0.08826
95.76479200040922,1697376657.9795027,0.09203
177.74067299978924,1697376658.2614923,0.17286
109.84700499830069,1697376658.3929968,0.10513
113.89023599986103,1697376658.5970285,0.11061
77.95956499830936,1697376658.7615855,0.07463
177.11335700005293,1697376659.0609343,0.17273
176.85482099841465,1697376659.2606146,0.17156
87.32015200075693,1697376659.370471,0.08503
177.905679000105,1697376659.6615844,0.17299
189.59438799720374,1697376659.872862,0.18591
114.75753899867414,1697376659.9982343,0.11095
100.61579299872392,1697376660.1840289,0.09766
33.03794700332219,1697376660.3166356,0.03165
113.46875799790723,1697376660.5968087,0.11085
107.68360099973506,1697376660.7914903,0.10401
30.475430001388304,1697376660.9136279,0.02894
